ID	ZT_0_REP_1	ZT_0_REP_2	ZT_0_REP_3	ZT_4_REP_1	ZT_4_REP_2	ZT_4_REP_3	ZT_8_REP_1	ZT_8_REP_2	ZT_8_REP_3	ZT_12_REP_1	ZT_12_REP_2	ZT_12_REP_3	ZT_16_REP_1	ZT_16_REP_2	ZT_16_REP_3	ZT_20_REP_1	ZT_20_REP_2	ZT_20_REP_3
Cdkn2c	0.927791	0.978151	0.608246	0.647481	0.600427	0.617756	0.703662	0.689341	0.968	0.9077	0.776009	1.20016	0.891887	0.599642	0.991906	0.871875	0.39982	0.66388
Cdkn2d	31.7114	29.7208	26.3535	30.6227	38.7441	31.8075	30.7976	33.5615	27.5855	32.8452	29.5114	28.19	30.709	35.3307	31.669	25.6645	28.0393	26.6951
Cdkn3	0.570888	0.472687	0.267484	0.581306	0.681788	0.524291	0.199099	0.450842	0.571361	0.322348	0.209177	0.22411	0.300936	0.413782	0.54156	0.289904	0.346277	0.548963
Cdnf	0.473483	0.420576	0.436042	0.567327	0.500466	0.489816	0.542078	0.457729	0.272761	0.530088	0.652072	0.435839	0.376537	0.50294	0.352358	0.43528	0.508369	0.527519
Cdo1	39.821	19.4874	14.5847	23.8847	19.5144	18.157	14.5884	17.4982	14.718	18.8009	17.1655	19.5625	19.4476	17.481	17.9885	16.0209	16.7603	15.6037
Cdon	0.672675	1.08299	1.20256	0.893179	0.738872	0.970305	0.956612	0.874201	0.953788	0.637952	1.05289	1.45366	0.997073	0.875711	1.05166	0.89668	0.896581	1.07556
Cdpf1	7.71747	8.93949	6.55333	7.03905	9.39128	7.83871	6.70641	8.03562	6.23879	7.77369	5.06843	7.40947	6.97337	7.18897	8.21494	7.06098	6.99655	7.30936
Cdr1	2.27471	3.05594	8.38356	2.93822	1.8076	2.49552	3.35849	3.12004	2.94441	1.35814	4.82534	5.71672	3.33333	3.28166	3.2613	5.41638	5.09098	5.79247
Cdr2	8.59472	7.54123	7.9798	8.60051	8.64298	8.24442	8.14172	7.52944	7.38737	9.51602	8.11026	6.90327	9.00513	9.44102	9.39987	8.2795	7.63584	7.90008
Cdr2l	5.82781	7.37943	6.65901	6.30212	6.77358	7.8807	5.91496	7.48074	5.77965	7.12908	7.13383	6.91227	6.27109	7.86837	7.09009	6.7461	6.45747	6.68949
Cdrt4	0.0447702	0.144157	0.0	0.119666	0.0	0.0639581	0.0437185	0.0707119	0.144762	0.0505583	0.262465	0.175752	0.0	0.0324496	0.0371615	0.0795719	0.0950451	0.160723
Cdrt4os1	0.0	0.0	0.0	0.0	0.0	0.0180918	0.0	0.0	0.0	0.0	0.0371217	0.0397719	0.0	0.0	0.0	0.0	0.0	0.0
Cds1	11.0501	10.9941	10.9446	12.9237	14.1531	13.5297	11.8088	17.1899	11.8369	11.4232	11.8142	12.4639	12.0263	14.7976	11.615	11.0043	11.2077	11.5509
Cds2	104.451	98.1816	101.022	122.091	90.6004	108.299	106.766	109.99	110.829	105.665	112.834	100.747	105.291	124.647	110.865	105.649	112.485	111.102
