CycID	PhaseShift	PhaseShiftHeight	PeakIndex	PeakSPD	Period	p	N	Nindependent	Nyquist	BH.Q
PLXNB1	57.2125890102713	19.1198655364047	17	1.56945651354884	25.6847545219638	0.969829974720639	18	15	0.132352941176471	1
PLXNB2	44.5468249298945	16.0146040905333	15	1.67109505586558	25.9530026109661	0.956044704887698	18	15	0.132352941176471	1
PLXNB3	44.7603199536829	4.9077254970947	12	2.00546465110183	26.3660477453581	0.885640993417178	18	15	0.132352941176471	1
PLXNC1	42.7111562593092	18.6814862331508	1	1.86922645838805	28	0.918962774922083	18	15	0.132352941176471	1
PLXND1	21.1511358518763	3.06837725736317	48	1.41629514458316	22.1380846325167	0.984519562258165	18	15	0.132352941176471	1
PM20D1	5.49973454206191e-05	0.911109498088541	71	2.65510599765321	20.0808080808081	0.664878098446027	18	15	0.132352941176471	1
PM20D2	40.2115712309436	3.23368103469127	29	2.03990381367555	24.1849148418491	0.876268537904782	18	15	0.132352941176471	1
PMAIP1	35.1050554389516	1.86359515573344	26	1.69729176941232	24.5432098765432	0.951926707327116	18	15	0.132352941176471	1
PMCH	39.7898054695694	169.345386931097	72	1.4990179299512	20	0.977437602064187	18	15	0.132352941176471	1
PMEL	27.5570799020523	0.492891165653859	56	2.9753095280803	21.3763440860215	0.544198218406189	18	15	0.132352941176471	1
PMEPA1	16.3467123148766	6.40315655040664	33	4.04539184024717	23.7231503579952	0.232692360608219	18	15	0.132352941176471	1
PMF1	32.08692548927	5.65479151861562	25	1.79224607314547	24.6650124069479	0.934999737216421	18	15	0.132352941176471	1
PMFBP1	43.8330253335548	1.03766962498689	72	1.1253278926286	20	0.997220694135649	18	15	0.132352941176471	1
PMIS2	8.21866897018636	0.0796813012586823	32	1.18287870036982	23.8369304556355	0.995863061849546	18	15	0.132352941176471	1
PML	24.4031409471082	1.58631123503738	63	3.95311974302431	20.7515657620042	0.252275020690106	18	15	0.132352941176471	1
PMM1	22.7879733569922	94.8478995868103	23	1.62861706068421	24.9122807017544	0.962224154781354	18	15	0.132352941176471	1
PMM2	23.4184350503104	6.05699104847121	1	2.91330622529367	28	0.567158441115214	18	15	0.132352941176471	1
PMP2	43.5221329226437	0.0334610586308854	24	0.397824529978768	24.788029925187	0.999999944731496	18	15	0.132352941176471	1
PMP22	31.2484241408026	12.3184894331875	45	5.8901063609646	22.4379232505643	0.0407060667388152	18	15	0.132352941176471	1
PMPCA	30.4383598765392	17.7944785772231	15	2.32794721095381	25.9530026109661	0.785345823905786	18	15	0.132352941176471	1
PMPCB	31.4828271323405	28.9590791980655	1	0.482558984521	28	0.99999944467708	18	15	0.132352941176471	1
PMS1	40.4210885734849	1.30889003366958	1	1.14566410637917	28	0.996788967108634	18	15	0.132352941176471	1
PMS2	32.6380373106703	3.54836371199465	2	2.29031876022378	27.843137254902	0.798303591356044	18	15	0.132352941176471	1
PMVK	30.0354933806454	42.4305253761283	48	1.84936949397954	22.1380846325167	0.92329670754107	18	15	0.132352941176471	1
PNCK	32.1822533762861	137.883511319908	55	2.03045402760505	21.4686825053996	0.878876611603173	18	15	0.132352941176471	1
PNISR	24.9078552801355	26.601889876249	1	2.02467007240483	28	0.880459466313785	18	15	0.132352941176471	1
PNKD	12.7623560718541	89.9516139957072	17	0.837967325369701	25.6847545219638	0.999796545678567	18	15	0.132352941176471	1
PNKP	24.1069690266415	8.54125748802623	53	3.96953810599733	21.6557734204793	0.248692646986314	18	15	0.132352941176471	1
PNKY	15.3243749494752	1.17463558408675	37	2.19140669181192	23.2786885245902	0.830971823950825	18	15	0.132352941176471	1
PNLDC1	51.1610127814608	0.433716363974679	1	1.3793454520517	28	0.987094958289161	18	15	0.132352941176471	1
PNLIP	16.8492054319311	0.17413014811839	72	1.03498545589405	20	0.998616252973924	18	15	0.132352941176471	1
PNLIPRP1	55.0093631718018	0.0106710533265129	72	0.509084453866429	20	0.999998967598344	18	15	0.132352941176471	1
PNLIPRP2	49.4819407842723	0.132759341265298	45	0.635189510138631	22.4379232505643	0.999987872997184	18	15	0.132352941176471	1
PNMA1	43.2972595870923	3.79083581853178	1	1.20589091308629	28	0.995193616428501	18	15	0.132352941176471	1
PNMA2	40.3697663015737	22.0495547766574	1	2.29322228918288	28	0.797313309173363	18	15	0.132352941176471	1
PNMA3	43.4282325339648	27.7974860253036	65	1.29906662351541	20.5797101449275	0.991587387206788	18	15	0.132352941176471	1
